job_title,experience_level,years_of_experience,education_required,annual_salary_usd,country,remote_work,company_size,industry
AI Agent Developer,Senior (6-9 yrs),7,Master's,239000.0,USA,On-site,Startup (1-50),Finance
Prompt Engineer,Senior (6-9 yrs),2,Bachelor's,166000.0,UK,Hybrid,Enterprise (5000+),Finance
LLM Engineer,Senior (6-9 yrs),4,Associate's,360000.0,USA,Fully Remote,Big Tech (FAANG+),Finance
Data Engineer (AI),Senior (6-9 yrs),3,Bachelor's,161000.0,Singapore,Fully Remote,SME (51-500),Technology
AI Product Manager,Lead (10+ yrs),5,Bootcamp/Self-taught,283000.0,USA,Fully Remote,Enterprise (5000+),Automotive
AI Agent Developer,Entry (0-2 yrs),5,Bootcamp/Self-taught,155000.0,USA,On-site,Enterprise (5000+),Government
AI Security Engineer,Mid (3-5 yrs),5,Master's,197000.0,USA,Fully Remote,Mid-size (501-5000),Manufacturing
Senior ML Engineer,Mid (3-5 yrs),7,Master's,221000.0,Global,Fully Remote,Startup (1-50),Education
NLP Engineer,Entry (0-2 yrs),3,Bachelor's,145000.0,India,Hybrid,SME (51-500),Automotive
Prompt Engineer,Entry (0-2 yrs),4,Bootcamp/Self-taught,90000.0,USA,On-site,Startup (1-50),Automotive
AI Solutions Architect,Entry (0-2 yrs),7,Associate's,180000.0,Japan,On-site,Startup (1-50),Technology
Prompt Engineer,Mid (3-5 yrs),1,Master's,118000.0,Japan,Hybrid,Enterprise (5000+),Education
Senior ML Engineer,Mid (3-5 yrs),8,Bootcamp/Self-taught,180000.0,China,On-site,Startup (1-50),Retail
AI Solutions Architect,Entry (0-2 yrs),15,Bootcamp/Self-taught,180000.0,Canada,Fully Remote,Startup (1-50),Finance
AI Agent Developer,Senior (6-9 yrs),3,Bachelor's,209000.0,UAE,Hybrid,Startup (1-50),Consulting
AI Agent Developer,Entry (0-2 yrs),3,Bachelor's,155000.0,Netherlands,Fully Remote,Mid-size (501-5000),Research
ML Engineer,Entry (0-2 yrs),6,PhD,120000.0,France,Fully Remote,Mid-size (501-5000),Healthcare
Generative AI Engineer,Mid (3-5 yrs),2,Bachelor's,162000.0,UK,On-site,Mid-size (501-5000),Consulting
AI Security Engineer,Senior (6-9 yrs),7,Bachelor's,228000.0,Australia,Hybrid,Big Tech (FAANG+),Government
Deep Learning Engineer,Lead (10+ yrs),6,Bachelor's,185000.0,Germany,Hybrid,Startup (1-50),Consulting
Multimodal AI Engineer,Senior (6-9 yrs),3,Bootcamp/Self-taught,329000.0,USA,On-site,Big Tech (FAANG+),Consulting
MLOps Engineer,Senior (6-9 yrs),9,Bachelor's,272000.0,UAE,On-site,Big Tech (FAANG+),Technology
AI Business Analyst,Lead (10+ yrs),7,Bootcamp/Self-taught,201000.0,USA,On-site,Enterprise (5000+),Media
RAG Engineer,Lead (10+ yrs),3,Associate's,230000.0,Canada,Fully Remote,Enterprise (5000+),Finance
NLP Engineer,Mid (3-5 yrs),8,Bachelor's,145000.0,Australia,Hybrid,SME (51-500),Manufacturing
Robotics Engineer (AI),Lead (10+ yrs),10,Master's,125000.0,China,Hybrid,SME (51-500),Energy
Senior Data Scientist,Entry (0-2 yrs),8,PhD,157000.0,Switzerland,Fully Remote,SME (51-500),Technology
ML Engineer,Mid (3-5 yrs),6,Bachelor's,224000.0,USA,Hybrid,SME (51-500),Energy
AI Business Analyst,Lead (10+ yrs),3,Bootcamp/Self-taught,216000.0,USA,Hybrid,Mid-size (501-5000),Manufacturing
AI Ethics Officer,Senior (6-9 yrs),10,Bootcamp/Self-taught,208000.0,USA,Hybrid,Enterprise (5000+),Research
NLP Engineer,Lead (10+ yrs),8,PhD,348000.0,Switzerland,On-site,Big Tech (FAANG+),Media
AI Infrastructure Eng,Lead (10+ yrs),4,Bachelor's,285000.0,Global,Hybrid,Enterprise (5000+),Research
Deep Learning Engineer,Mid (3-5 yrs),10,Master's,141000.0,Canada,Hybrid,Startup (1-50),Healthcare
AI Infrastructure Eng,Entry (0-2 yrs),6,Bachelor's,160000.0,USA,Hybrid,Enterprise (5000+),Government
Senior ML Engineer,Lead (10+ yrs),8,Associate's,223000.0,UK,Hybrid,Startup (1-50),Automotive
AI Engineer,Lead (10+ yrs),4,PhD,221000.0,Netherlands,Hybrid,Enterprise (5000+),Finance
MLOps Engineer,Senior (6-9 yrs),8,Bootcamp/Self-taught,130000.0,China,Fully Remote,Big Tech (FAANG+),Technology
AI Business Analyst,Senior (6-9 yrs),8,Associate's,95000.0,India,Hybrid,Startup (1-50),Government
Data Scientist,Lead (10+ yrs),5,Bootcamp/Self-taught,198000.0,USA,Fully Remote,Mid-size (501-5000),Government
Deep Learning Engineer,Lead (10+ yrs),6,Bootcamp/Self-taught,238000.0,UAE,Hybrid,Mid-size (501-5000),Consulting
NLP Engineer,Entry (0-2 yrs),7,Master's,192000.0,USA,Hybrid,Enterprise (5000+),Energy
AI Product Manager,Entry (0-2 yrs),10,PhD,149000.0,UAE,Hybrid,Mid-size (501-5000),Media
NLP Engineer,Senior (6-9 yrs),9,Bootcamp/Self-taught,164000.0,Netherlands,Hybrid,Startup (1-50),Finance
Senior ML Engineer,Senior (6-9 yrs),6,Associate's,272000.0,Global,Hybrid,Mid-size (501-5000),Consulting
AI Infrastructure Eng,Mid (3-5 yrs),3,PhD,275000.0,USA,Hybrid,Enterprise (5000+),Media
RAG Engineer,Mid (3-5 yrs),4,Master's,189000.0,UK,Fully Remote,Enterprise (5000+),Consulting
Data Scientist,Senior (6-9 yrs),7,Associate's,146000.0,UK,Fully Remote,Enterprise (5000+),Energy
Multimodal AI Engineer,Entry (0-2 yrs),3,PhD,180000.0,USA,Fully Remote,Startup (1-50),Healthcare
Computer Vision Engineer,Senior (6-9 yrs),4,Bachelor's,234000.0,Global,On-site,Mid-size (501-5000),Media
Data Engineer (AI),Lead (10+ yrs),6,Bachelor's,240000.0,USA,On-site,SME (51-500),Healthcare
Senior Data Scientist,Senior (6-9 yrs),7,Associate's,169000.0,Australia,Hybrid,Enterprise (5000+),Automotive
AI Agent Developer,Lead (10+ yrs),2,PhD,257000.0,Singapore,On-site,Startup (1-50),Automotive
AI Compliance Manager,Entry (0-2 yrs),5,PhD,188000.0,USA,On-site,Big Tech (FAANG+),Healthcare
Senior Data Scientist,Entry (0-2 yrs),10,Bachelor's,157000.0,Netherlands,Hybrid,Big Tech (FAANG+),Education
AI Ethics Officer,Entry (0-2 yrs),5,PhD,110000.0,Switzerland,Hybrid,Startup (1-50),Media
Generative AI Engineer,Lead (10+ yrs),8,Master's,354000.0,USA,Fully Remote,Enterprise (5000+),Consulting
Data Engineer (AI),Entry (0-2 yrs),6,Associate's,160000.0,USA,Hybrid,Big Tech (FAANG+),Energy
Data Engineer (AI),Entry (0-2 yrs),8,PhD,130000.0,Japan,Fully Remote,Mid-size (501-5000),Retail
Multimodal AI Engineer,Mid (3-5 yrs),7,Bachelor's,160000.0,Australia,Fully Remote,Startup (1-50),Retail
AI Compliance Manager,Entry (0-2 yrs),9,PhD,100000.0,China,Hybrid,Startup (1-50),Finance
ML Engineer,Entry (0-2 yrs),6,Bachelor's,120000.0,UK,Hybrid,Enterprise (5000+),Research
Data Engineer (AI),Entry (0-2 yrs),2,Bootcamp/Self-taught,130000.0,USA,On-site,Enterprise (5000+),Government
Senior ML Engineer,Mid (3-5 yrs),6,Bootcamp/Self-taught,180000.0,Netherlands,Hybrid,Startup (1-50),Manufacturing
Deep Learning Engineer,Mid (3-5 yrs),10,Bachelor's,222000.0,USA,Hybrid,Big Tech (FAANG+),Finance
MLOps Engineer,Entry (0-2 yrs),5,Bachelor's,131000.0,Switzerland,Hybrid,Enterprise (5000+),Energy
Deep Learning Engineer,Lead (10+ yrs),3,Associate's,247000.0,Canada,Hybrid,Big Tech (FAANG+),Education
Multimodal AI Engineer,Senior (6-9 yrs),7,Bachelor's,160000.0,China,On-site,Startup (1-50),Consulting
AI Infrastructure Eng,Lead (10+ yrs),8,PhD,324000.0,USA,On-site,Mid-size (501-5000),Retail
Senior Data Scientist,Entry (0-2 yrs),5,Associate's,157000.0,USA,Fully Remote,Mid-size (501-5000),Healthcare
MLOps Engineer,Mid (3-5 yrs),9,PhD,191000.0,Switzerland,Fully Remote,SME (51-500),Government
AI Ethics Officer,Entry (0-2 yrs),8,Associate's,126000.0,Singapore,Fully Remote,Big Tech (FAANG+),Automotive
NLP Engineer,Senior (6-9 yrs),4,Master's,167000.0,Australia,On-site,Startup (1-50),Energy
RAG Engineer,Entry (0-2 yrs),2,PhD,157000.0,UAE,Hybrid,Enterprise (5000+),Education
AI Engineer,Mid (3-5 yrs),7,Associate's,100000.0,China,Hybrid,Mid-size (501-5000),Manufacturing
Data Scientist,Mid (3-5 yrs),4,Bachelor's,138000.0,India,Fully Remote,Mid-size (501-5000),Finance
AI Product Manager,Lead (10+ yrs),4,Associate's,258000.0,France,Fully Remote,Big Tech (FAANG+),Government
AI Infrastructure Eng,Senior (6-9 yrs),3,Bachelor's,248000.0,Global,Hybrid,Mid-size (501-5000),Education
RAG Engineer,Entry (0-2 yrs),5,Bachelor's,145000.0,Netherlands,On-site,Mid-size (501-5000),Finance
Multimodal AI Engineer,Senior (6-9 yrs),7,Bootcamp/Self-taught,244000.0,Switzerland,On-site,Mid-size (501-5000),Finance
AI Infrastructure Eng,Senior (6-9 yrs),4,Bootcamp/Self-taught,167000.0,Switzerland,Hybrid,SME (51-500),Consulting
AI Infrastructure Eng,Mid (3-5 yrs),9,Bachelor's,196000.0,USA,On-site,Mid-size (501-5000),Media
AI Security Engineer,Entry (0-2 yrs),4,Master's,146000.0,Netherlands,Fully Remote,Enterprise (5000+),Media
AI Infrastructure Eng,Senior (6-9 yrs),8,Bachelor's,179000.0,UK,Hybrid,Mid-size (501-5000),Consulting
Senior ML Engineer,Senior (6-9 yrs),11,Master's,374400.0,USA,Hybrid,Big Tech (FAANG+),Consulting
Deep Learning Engineer,Mid (3-5 yrs),8,PhD,253000.0,Canada,Hybrid,Big Tech (FAANG+),Finance
Prompt Engineer,Senior (6-9 yrs),2,Associate's,121000.0,UK,Fully Remote,SME (51-500),Finance
MLOps Engineer,Lead (10+ yrs),9,PhD,312000.0,Global,Hybrid,Big Tech (FAANG+),Technology
AI Solutions Architect,Entry (0-2 yrs),12,Master's,180000.0,Japan,On-site,Mid-size (501-5000),Technology
Senior Data Scientist,Senior (6-9 yrs),9,Master's,244000.0,Canada,Hybrid,Big Tech (FAANG+),Manufacturing
AI Agent Developer,Lead (10+ yrs),6,PhD,348000.0,USA,On-site,Big Tech (FAANG+),Consulting
Senior Data Scientist,Lead (10+ yrs),12,Associate's,183000.0,Netherlands,Fully Remote,SME (51-500),Manufacturing
Multimodal AI Engineer,Lead (10+ yrs),5,Master's,360000.0,Germany,Hybrid,Big Tech (FAANG+),Manufacturing
LLM Engineer,Mid (3-5 yrs),7,PhD,181000.0,Australia,Hybrid,Mid-size (501-5000),Media
NLP Engineer,Mid (3-5 yrs),9,Master's,295000.0,USA,Hybrid,Big Tech (FAANG+),Healthcare
AI Product Manager,Entry (0-2 yrs),9,Associate's,140000.0,France,Fully Remote,Startup (1-50),Research
AI Product Manager,Lead (10+ yrs),7,Master's,281000.0,France,Fully Remote,Enterprise (5000+),Technology
